trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
280,False,"{'a': 0.5, 'e': 0.12149106016206662}",25,1,30.709042453696956,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.12057987721085112}",20,10,24.12762810509701,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.11967552813176975}",30,18,-15.585906662452885,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.5, 'e': 0.11877796167078147}",20,14,12.027600773813345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.11788712695825063}",25,20,8.076062366384903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.11700297350606374}",20,12,15.771209260228037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.11612545120476828}",20,12,16.52414707443519,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.11525451032073251}",25,12,23.65637364213417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.11439010149332703}",25,20,9.357690725553773,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.11353217573212708}",35,15,-20.919603376967455,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
290,False,"{'a': 0.5, 'e': 0.11268068441413613}",30,22,13.856581251547102,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.11183557928103012}",25,11,27.195202357874965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.1109968124364224}",20,0,31.22705205889348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.11016433634314923}",20,10,6.830892799562288,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.10933810382057563}",25,16,18.85100540893244,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.10851806804192131}",20,12,14.467143529919765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.1077041825316069}",20,0,30.862120719293564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.10689640116261986}",25,7,23.863745065598746,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.10609467815390022}",25,10,-8.997590970701339,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.10529896806774597}",25,8,28.977027987933077,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.10450922580723788}",25,18,14.392772670351325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.1037254066136836}",25,8,32.04495356652495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.10294746606408098}",20,7,21.224283805613673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.10217536006860038}",20,15,9.799998908682106,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.10140904486808588}",25,8,29.96731436432483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.10064847703157524}",35,14,29.95165020393072,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.09989361345383843}",25,11,12.522315297517228,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.09914441135293466}",20,10,17.763513594594432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.09840082826778765}",20,5,17.932820013360597,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.09766282205577924}",25,14,21.709693152314696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.09693035089036091}",25,12,27.477619293027676,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
